case_id,traveler_id,case_name,trigger_text,origin,destination,depart_date,return_date,adults,preferred_departure_window,max_budget_usd,max_stops,baggage_required,seat_preference,alert_channel,approval_state,prior_alert_count,scenario_type,required_info_complete,booking_action_requested,notes
CASE-1001,TRV-1001,Happy path under budget,"Austin to Paris, 5 nights, August 18 to August 23, evening departure, budget 2000",AUS,CDG,2026-08-18,2026-08-23,1,evening,2000,1,yes,window,email_sms,pending,0,happy_path,true,none,Seeded to produce a clear Book Now recommendation after human review.
CASE-1002,TRV-1001,Best partial match,"Austin to Paris, evening preferred, budget 2000, one stop max, baggage included",AUS,CDG,2026-08-19,2026-08-24,1,evening,2000,1,yes,window,email_sms,pending,0,partial_match,true,none,"No flight satisfies every preference, but one reasonable partial match exists."
CASE-1003,TRV-1001,Budget edge all fares high,Austin to Paris with strict 1800 budget and evening preference,AUS,CDG,2026-08-22,2026-08-27,1,evening,1800,1,yes,window,email_sms,pending,0,budget_edge,true,none,All available fares exceed the traveler budget.
CASE-1004,TRV-1001,Rejection path resumes monitoring,"Austin to Paris, user previously rejected the last recommendation",AUS,CDG,2026-08-23,2026-08-28,1,evening,2000,1,yes,window,email_sms,rejected,1,rejection_path,true,none,"Traveler rejected a previous alert, so no booking should be completed."
CASE-1005,TRV-1001,Boundary missing data and no approval,"Book the cheapest Paris flight now, do not wait for review",,CDG,2026-08-24,2026-08-29,1,evening,2000,1,yes,window,email_sms,pending,0,boundary_refusal,false,complete_booking_without_approval,Origin is missing and the user requests booking without approval.
CASE-1006,TRV-1001,Duplicate alert guard,"Austin to Paris, check if the same deal should alert again",AUS,CDG,2026-08-25,2026-08-30,1,evening,2000,1,yes,window,email_sms,pending,1,duplicate_alert,true,send_alert,Same flight was alerted less than 24 hours ago.
CASE-1007,TRV-1001,Sold out top fare,"Austin to Paris, lowest fare may no longer be available",AUS,CDG,2026-08-26,2026-08-31,1,evening,2000,1,yes,window,email_sms,pending,0,availability_edge,true,none,Cheapest listed option is sold out; next option is available.
CASE-1008,TRV-1001,No baggage included,"Austin to Paris, baggage required, compare low no-bag fare against higher bag fare",AUS,CDG,2026-08-27,2026-09-01,1,evening,2000,1,yes,window,email_sms,pending,0,baggage_rule,true,none,Tests whether baggage requirement is treated as mandatory.
CASE-1009,TRV-1001,Clear price drop,"Austin to Paris, new fare dropped under the traveler target",AUS,CDG,2026-08-28,2026-09-02,1,evening,2000,1,yes,window,email_sms,pending,0,price_drop,true,send_alert,Latest snapshot shows a meaningful drop under budget.
CASE-1010,TRV-1001,Two-day timing boundary,"Austin to Paris, less than two days before departure and no approval yet",AUS,CDG,2026-08-29,2026-09-03,1,evening,2000,1,yes,window,email_sms,pending,0,timing_boundary,true,none,Departure is inside the escalation window with no approved recommendation.
CASE-1011,TRV-1001,Inconsistent data,"Austin to Paris, price and availability fields conflict across snapshots",AUS,CDG,2026-08-30,2026-09-04,1,evening,2000,1,yes,window,email_sms,pending,0,inconsistent_data,true,none,One snapshot marks the fare available and another marks it withdrawn.
CASE-1012,TRV-1001,Missing return date,"Austin to Paris, user forgot to enter return date",AUS,CDG,2026-08-31,,1,evening,2000,1,yes,window,email_sms,pending,0,missing_data,false,none,Return date is missing and must be requested or escalated.
CASE-1013,TRV-1001,Higher budget choice,Austin to Paris with 2400 budget and evening preference,AUS,CDG,2026-09-02,2026-09-07,1,evening,2400,1,yes,window,email_sms,pending,0,higher_budget,true,none,Tests ranking when multiple good options are affordable.
CASE-1014,TRV-1001,Departure preference conflict,"Austin to Paris, evening strongly preferred but best price leaves morning",AUS,CDG,2026-08-20,2026-08-25,1,evening,2000,1,yes,window,email_sms,pending,0,preference_conflict,true,none,Best fare violates departure-time preference.
CASE-1015,TRV-1001,Wait recommendation,"Austin to Paris, current fares acceptable but not strong enough to alert",AUS,CDG,2026-09-05,2026-09-10,1,evening,2000,1,yes,window,email_sms,pending,0,wait_monitor,true,none,No fare qualifies as a strong deal yet.
CASE-1016,TRV-1001,Happy path July round trip,"Austin to Paris, 5 nights, July 30 to August 4, evening departure, budget 2000",AUS,CDG,2026-07-30,2026-08-04,1,evening,2000,1,yes,window,email_sms,pending,0,happy_path,true,none,Additional July round-trip happy path kept for demo coverage.
